StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q_BallotBoxStuffing,Informed Consent,NHST Screener ,Age Screener ,Position ,Appointment ,Appointment _4_TEXT,Gender,Gender_5_TEXT,Minority Status,country,HARKing V._4,Optional Stopping V._4,Hide Imputation V._1,Switch Analysis V._1,Selective Cov. V. _1,Exclude Selective V._1,Underreport Res. V._1,Omit non-sig. V._1,Selective Outcome V._1,Round P-value V._1,Hide Problems V._1,Attention Check,Descriptive 1,Injunctive 1,Engaged 1,Use 1,Support 1,Descriptive 2,Injunctive 2,Engaged 2,Use 2,Support 2,Descriptive 3,Injunctive 3,Engaged 3,Use 3,Support 3,Descriptive 4,Injunctive 4,Engaged 4,Use 4 ,Support 4 ,Descriptive 5,Injunctive 5,Engaged 5,Use 5,Support 5,Descriptive 6,Injunctive 6,Engaged 6,Use 6,Support 6 ,Descriptive 7,Injunctive 7,Engaged 7,Use 7 ,Support 7,Descriptive 8,Injunctive 8,Engaged 8,Use 8,Support 8,Descriptive 9,Injunctive 9,Engaged 9,Use 9,Support 9,Descriptive 10,Injunctive 10,Engaged 10,Use 10,Support 10,Descriptive 11,Injunctive 11,Engaged 11,Use 11 ,Support 11,Q99,PPQr_1,PPQr_2,PPQr_3,PPQr_4,PPQr_5,PPQr_6,PPQr_7,PPQr_8,PPQr_9,PPQr_10,PPQr_11,PPQr_12,PPQr_13,PPQr_14,PPQr_15,PPQr_16,PPQr_17,PPQr_18,PPQr_19,Social Desirability_1,Social Desirability_2,Social Desirability_3,Social Desirability_4,Social Desirability_5,Social Desirability_6,Social Desirability_7,Social Desirability_8,Social Desirability_9,Social Desirability_10,Social Desirability_11,Social Desirability_12,Social Desirability_13,Feedback,Q104,HARKing Statement A,Optional Stopping Statement A,Hide Imputation Statement A,Switch Analysis Selectively Statement A,Selectively Include Covariates Statement A,Exclude Data Selectively Statement A,Underreport Results Statement A,Omit non-significant Statement A,Selectively Report Outcomes Statement A,Round P-Values Statement A,Hide Problems Statement A
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Q_BallotBoxStuffing,"SAINT LOUIS UNIVERSITY

Recruitment Statement for Research Participation

 
1. Jack Friedrich, Saint Louis University Psychology Graduate Student, is inviting you to participate in this research study.



2. The title of this study is More than Perverse Incentives: Questionable Research Practices in the Organizational Sciences. The purpose of this study is to better understand research practices used in the organizational sciences and their relationship with various social norms and experiences of publication pressure.



3. Your participation in this study will involve completing an online survey that will take approximately 15 minutes to complete. The survey will ask about your experiences related to various research practices and with publication pressure.



4. To be eligible for this study, you must be a researcher in the organizational sciences, have conducted quantitative research that involves null hypothesis significance testing, and be at least 18 years of age.



5. The risks to you as a participant are minimal. These include loss of confidentiality, boredom/fatigue, loss of time, and potential discomfort in answering questions about yourself. To minimize risk, your responses will be anonymous (no identifying information will be collected), the questions will not assess illegal or sensitive topics, and you are free to skip any questions you are uncomfortable responding to.



6. The results of this study may be published in scientific research journals or presented at professional conferences. However, your name and identity will not be revealed and your record will remain anonymous.



7. Participation in this study will not benefit you directly. Your participant may benefit others by helping us understand the relationships between publication pressure, social norms, and various research practices in the organizational sciences.



8. You can choose not to participate. If you decide not to participate, there will not be a penalty to you or loss of any benefits to which you are otherwise entitled. You may withdraw from this study at any time.



9. If you have questions about this research study, you can email Jack Friedrich at jack.friedrich@slu.edu. If you have questions about your rights as a research participant, you can call the Saint Louis University Institutional Review Board at 314-977-7744 and reference IRB #34401.

By clicking ""I agree,"" you are consenting to the conditions described above.",Have you conducted quantitative research that involves null-hypothesis significance testing?,Are you at least 18 years of age?,Which of the following best describes your current position?,Which of the following best describes your current academic appointment? - Selected Choice,Which of the following best describes your current academic appointment? - Other (please describe) - Text,How would you describe your gender identity? - Selected Choice,How would you describe your gender identity? - Other (please describe) - Text,Are you a member of an ethnic minority in your country?,List of Countries,"Dr. Patel is conducting research on the relationship between psychological safety and employee voice behaviors. Her planned analyses yield significant effects that are consistent with the literature but not particularly novel. During an exploratory analysis she discovers a significant, unexpected effect for certain groups in her dataset that is much more compelling than her original hypotheses and if it were the focus of the paper would likely strengthen the impact and publishability of her paper, particularly in a top-tier journal. In her place, would you: - 4","Dr. Garcia is conducting a lab study with two conditions. He is randomly assigning members to a leadership style and examining the impact of the style on team performance. The study is expensive and time-intensive to run. He preregistered that he would collect data from 40 teams, but he is running analyses after every fifth team’s data collection and obtains a significant result after collecting data from the 30th team. In his place, would you: - 4","Dr. Anderson finally finishes data collection for his study on factors contributing to burnout at work for a hard-to-study population, but unfortunately responses to many of his key variables have very high degrees of missingness. He decides to fill missing values in his dataset with estimated values, using a very common imputation method, but the degree of missingness in his data is slightly higher than recommended for use with this method. In his place, would you: - 1","Dr. Thompson is conducting research on the relationship between job satisfaction, work engagement, and the outcome of employee turnover. Upon running her analyses, Dr. Thompson is surprised to discover that the analysis she had originally chosen and that she believes is most appropriate for her data, a multiple logistic regression, returns a null effect. There are, however, several other plausible analyses she could run. In her place, would you: - 1","Dr. Lewis is running the analyses for her study on remote work. Her regression model includes a number of covariates that she hypothesized would be related to experiences of remote work, but she discovers that some of the covariates’ effects on experiences of remote work are non-significant. In her place, would you: - 1","Dr. Walker is studying the influence of personality traits on work-life balance. He obtains a non-significant correlation of r = .21 and p = .054 for what he believed would be his strongest result. After this result, he examines the scatterplot for the correlation and notices that a few datapoints that he could justify as outliers are preventing his results from reaching statistical significance. In his place, would you: - 1","Dr. Xu is studying the impact of job characteristics on employee strengths use. Some of her analyses yield negligible, non-significant effects. After reviewing her results, she believes the analyses that demonstrated null effects may not be relevant to the story she is telling in her planned publication. In her place, would you: - 1","Dr. Taylor runs multiple, well-powered studies testing hypotheses consistent with a very well-established theory of work motivation. Reviewing his results, Dr. Taylor is surprised to find that the results of some of his studies are non-significant and inconsistent with the theory. In his place, would you: - 1","Dr. King is applying for an academic job a few years after graduation and decides to publish her dissertation on the impact of workplace bullying on worker outcomes such as job turnover, satisfaction, and engagement. Several outcome variables in her original dissertation study were non-significant, and upon revisiting the topic in her dissertation, she deems them less relevant to the topic than she did when originally conducting the study. In her place, would you: - 1","The result of Dr. Bell’s key hypothesis test in his most recent research project examining predictors of organizational citizenship behaviors is right above the threshold for statistical significance at p = .053. He believes the result indicates there is an effect but worries that a technically non-significant finding will result in a rejection at the journal that best fits the study’s topic. In his place, would you: - 1","Dr. Carter’s paper exploring predictors of employee experiences of inclusion is ready for submission for publication when she discovers a data quality issue that could impact some of her conclusions and likelihood of publication; most of her participants gave inconsistent responses in her online data collection. She could recollect data, but it would require more additional time and resources than she has available. However, she worries that disclosing the issue would impact her likelihood of publication. In her place, would you: - 1","To ensure you are paying attention, please select ""Agree"".","What PERCENT of organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.)–that is how many out of 100–would you say have engaged in this practice on at least one occasion?



Please enter a number between 0 and 100:",Do members of your field generally approve or disapprove of this practice?,Have you ever engaged in this practice?,"What PERCENT of studies you have conducted–that is, how many out of 100–would you say that you used this practice?



Please enter a number between 0 and 100:","How frequently SHOULD organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.) use this practice?","What PERCENT of organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.)–that is how many out of 100–would you say have engaged in this practice on at least one occasion?



Please enter a number between 0 and 100:",Do members of your field generally approve or disapprove of this practice?,Have you ever engaged in this practice?,"What PERCENT of studies you have conducted–that is, how many out of 100–would you say that you used this practice?



Please enter a number between 0 and 100:","How frequently SHOULD organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.) use this practice?","What PERCENT of organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.)–that is how many out of 100–would you say have engaged in this practice on at least one occasion?



Please enter a number between 0 and 100:",Do members of your field generally approve or disapprove of this practice?,Have you ever engaged in this practice?,"What PERCENT of studies you have conducted–that is, how many out of 100–would you say that you used this practice?



Please enter a number between 0 and 100:","How frequently SHOULD organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.) use this practice?","What PERCENT of organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.)–that is how many out of 100–would you say have engaged in this practice on at least one occasion?



Please enter a number between 0 and 100:",Do members of your field generally approve or disapprove of this practice?,Have you ever engaged in this practice?,"What PERCENT of studies you have conducted–that is, how many out of 100–would you say that you used this practice?



Please enter a number between 0 and 100:","How frequently SHOULD organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.) use this practice?","What PERCENT of organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.)–that is how many out of 100–would you say have engaged in this practice on at least one occasion?



Please enter a number between 0 and 100:",Do members of your field generally approve or disapprove of this practice?,Have you ever engaged in this practice?,"What PERCENT of studies you have conducted–that is, how many out of 100–would you say that you used this practice?



Please enter a number between 0 and 100:","How frequently SHOULD organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.) use this practice?","What PERCENT of organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.)–that is how many out of 100–would you say have engaged in this practice on at least one occasion?



Please enter a number between 0 and 100:",Do members of your field generally approve or disapprove of this practice?,Have you ever engaged in this practice?,"What PERCENT of studies you have conducted–that is, how many out of 100–would you say that you used this practice?



Please enter a number between 0 and 100:","How frequently SHOULD organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.) use this practice?","What PERCENT of organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.)–that is how many out of 100–would you say have engaged in this practice on at least one occasion?



Please enter a number between 0 and 100:",Do members of your field generally approve or disapprove of this practice?,Have you ever engaged in this practice?,"What PERCENT of studies you have conducted–that is, how many out of 100–would you say that you used this practice?



Please enter a number between 0 and 100:","How frequently SHOULD organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.) use this practice?","What PERCENT of organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.)–that is how many out of 100–would you say have engaged in this practice on at least one occasion?



Please enter a number between 0 and 100:",Do members of your field generally approve or disapprove of this practice?,Have you ever engaged in this practice?,"What PERCENT of studies you have conducted–that is, how many out of 100–would you say that you used this practice?



Please enter a number between 0 and 100:","How frequently SHOULD organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.) use this practice?","What PERCENT of organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.)–that is how many out of 100–would you say have engaged in this practice on at least one occasion?



Please enter a number between 0 and 100:",Do members of your field generally approve or disapprove of this practice?,Have you ever engaged in this practice?,"What PERCENT of studies you have conducted–that is, how many out of 100–would you say that you used this practice?



Please enter a number between 0 and 100:","How frequently SHOULD organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.) use this practice?","What PERCENT of organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.)–that is how many out of 100–would you say have engaged in this practice on at least one occasion?



Please enter a number between 0 and 100:",Do members of your field generally approve or disapprove of this practice?,Have you ever engaged in this practice?,"What PERCENT of studies you have conducted–that is, how many out of 100–would you say that you used this practice?



Please enter a number between 0 and 100:","How frequently SHOULD organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.) use this practice?","What PERCENT of organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.)–that is how many out of 100–would you say have engaged in this practice on at least one occasion?



Please enter a number between 0 and 100:",Do members of your field generally approve or disapprove of this practice?,Have you ever engaged in this practice?,"What PERCENT of studies you have conducted–that is, how many out of 100–would you say that you used this practice?



Please enter a number between 0 and 100:","How frequently SHOULD organizational scientists (e.g., management scholars, industrial-organizational psychologists, etc.) use this practice?",Were you taught to engage in practices like the ones you just responded to in your graduate education?,Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - I experience stress at the thought of my colleagues’ assessment of my publications output.,Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - I feel forced to spend time on my publications outside office hours.,Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - I cannot find sufficient time to work on my publications.,Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - I have no peace of mind when working on my publications.,Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - I can combine working on my publications with my other tasks.,"Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - At home, I do not feel stressed about my publications.",Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - The current publication climate puts pressure on relationships with fellow researchers.,Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - I suspect that publication pressure leads some colleagues (whether intentionally or not) to cut corners.,Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - In my opinion the pressure to publish scientific articles has become too high.,Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - My colleagues judge me mainly on the basis of my publications.,"Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - Colleagues maintain their administrative and teaching skills well, despite publication pressure.",Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - Publication pressure harms science.,"Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - When working on a publication, I feel supported by my co-authors","Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - When I encounter difficulties when working on a publication, I can discuss these with my colleagues.",Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - I have freedom to decide about the topics of my publications.,"Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - When working on a publication, many decisions about the content of the paper are outside my control.",Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - I cannot cope with all aspects of publishing my papers.,"Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - I feel confident in the interaction with co-authors, reviewers, and editors.","Listed below are a number of statements concerning your beliefs about the current publication climate. Please respond with your level of agreement to each item. - To ensure you are paying attention, please select ""totally disagree"".",Listed below are a number of statements concerning personal attitudes and traits. Read each item and decide how it pertains to you. Please respond either True or False to each item. - It is sometimes hard for me to go on with my work if I am not encouraged.,Listed below are a number of statements concerning personal attitudes and traits. Read each item and decide how it pertains to you. Please respond either True or False to each item. - I sometimes feel resentful when I don’t get my way.,"Listed below are a number of statements concerning personal attitudes and traits. Read each item and decide how it pertains to you. Please respond either True or False to each item. - On a few occasions, I have given up doing something because I thought too little of my ability.",Listed below are a number of statements concerning personal attitudes and traits. Read each item and decide how it pertains to you. Please respond either True or False to each item. - There have been times when I felt like rebelling against people in authority even though I knew they were right.,"Listed below are a number of statements concerning personal attitudes and traits. Read each item and decide how it pertains to you. Please respond either True or False to each item. - No matter who I’m talking to, I’m always a good listener.",Listed below are a number of statements concerning personal attitudes and traits. Read each item and decide how it pertains to you. Please respond either True or False to each item. - There have been occasions when I took advantage of someone.,Listed below are a number of statements concerning personal attitudes and traits. Read each item and decide how it pertains to you. Please respond either True or False to each item. - I’m always willing to admit to it when I make a mistake.,Listed below are a number of statements concerning personal attitudes and traits. Read each item and decide how it pertains to you. Please respond either True or False to each item. - I sometimes try to get even rather than forgive and forget.,"Listed below are a number of statements concerning personal attitudes and traits. Read each item and decide how it pertains to you. Please respond either True or False to each item. - I am always courteous, even to people who are disagreeable.",Listed below are a number of statements concerning personal attitudes and traits. Read each item and decide how it pertains to you. Please respond either True or False to each item. - I have never been irked when people expressed ideas very different from my own.,Listed below are a number of statements concerning personal attitudes and traits. Read each item and decide how it pertains to you. Please respond either True or False to each item. - There have been times when I was quite jealous of the good fortune of others.,Listed below are a number of statements concerning personal attitudes and traits. Read each item and decide how it pertains to you. Please respond either True or False to each item. - I am sometimes irritated by people who ask favors of me.,Listed below are a number of statements concerning personal attitudes and traits. Read each item and decide how it pertains to you. Please respond either True or False to each item. - I have never deliberately said something that hurt someone’s feelings.,"If you have any general feedback you would like to provide, please leave it here:","The survey is now complete. If you do not want your data recorded, please select that option below",HARKing Statement A,Optional Stopping Statement A,Hide Imputation Statement A,Switch Analysis Selectively Statement A,Selectively Include Covariates Statement A,Exclude Data Selectively Statement A,Underreport Results Statement A,Omit non-significant Statement A,Selectively Report Outcomes Statement A,Round P-Values Statement A,Hide Problems Statement A
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""QID108""}","{""ImportId"":""QID1""}","{""ImportId"":""QID106""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID4_5_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID111""}","{""ImportId"":""QID110_4""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID101""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID28_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID34_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID37_TEXT""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID44_TEXT""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID49""}","{""ImportId"":""QID51_TEXT""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID55_TEXT""}","{""ImportId"":""QID56""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID65_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70""}","{""ImportId"":""QID72_TEXT""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID76_TEXT""}","{""ImportId"":""QID77""}","{""ImportId"":""QID79_TEXT""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""QID84""}","{""ImportId"":""QID86_TEXT""}","{""ImportId"":""QID87""}","{""ImportId"":""QID88""}","{""ImportId"":""QID90_TEXT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID93_TEXT""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95""}","{""ImportId"":""QID97_TEXT""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99""}","{""ImportId"":""QID100_1""}","{""ImportId"":""QID100_2""}","{""ImportId"":""QID100_3""}","{""ImportId"":""QID100_4""}","{""ImportId"":""QID100_5""}","{""ImportId"":""QID100_6""}","{""ImportId"":""QID100_7""}","{""ImportId"":""QID100_8""}","{""ImportId"":""QID100_9""}","{""ImportId"":""QID100_10""}","{""ImportId"":""QID100_11""}","{""ImportId"":""QID100_12""}","{""ImportId"":""QID100_13""}","{""ImportId"":""QID100_14""}","{""ImportId"":""QID100_15""}","{""ImportId"":""QID100_16""}","{""ImportId"":""QID100_17""}","{""ImportId"":""QID100_18""}","{""ImportId"":""QID100_19""}","{""ImportId"":""QID102_1""}","{""ImportId"":""QID102_2""}","{""ImportId"":""QID102_3""}","{""ImportId"":""QID102_4""}","{""ImportId"":""QID102_5""}","{""ImportId"":""QID102_6""}","{""ImportId"":""QID102_7""}","{""ImportId"":""QID102_8""}","{""ImportId"":""QID102_9""}","{""ImportId"":""QID102_10""}","{""ImportId"":""QID102_11""}","{""ImportId"":""QID102_12""}","{""ImportId"":""QID102_13""}","{""ImportId"":""QID112_TEXT""}","{""ImportId"":""QID104""}","{""ImportId"":""HARKing Statement A""}","{""ImportId"":""Optional Stopping Statement A""}","{""ImportId"":""Hide Imputation Statement A""}","{""ImportId"":""Switch Analysis Selectively Statement A""}","{""ImportId"":""Selectively Include Covariates Statement A""}","{""ImportId"":""Exclude Data Selectively Statement A""}","{""ImportId"":""Underreport Results Statement A""}","{""ImportId"":""Omit non-significant Statement A""}","{""ImportId"":""Selectively Report Outcomes Statement A""}","{""ImportId"":""Round P-Values Statement A""}","{""ImportId"":""Hide Problems Statement A""}"
10/10/24 15:09,10/10/24 15:10,IP Address,93.34.36.129,100,54,TRUE,10/10/24 15:10,R_2agHS7CMm65VBUq,,,,,40.867,14.2385,email,EN,1,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/24 15:12,10/10/24 15:13,IP Address,86.12.233.232,100,23,TRUE,10/10/24 15:13,R_8O0yfGw1qQ9GeWL,,,,,50.9051,-1.3655,email,EN,1,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/24 15:13,10/10/24 15:14,IP Address,104.28.48.214,100,36,TRUE,10/10/24 15:14,R_33msSX5I7X9mQ76,,,,,39.7301,-104.9078,email,EN,1,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/24 15:15,10/10/24 15:15,IP Address,83.87.72.161,100,26,TRUE,10/10/24 15:15,R_2cZmGheg3Hnnzb6,,,,,51.614,4.7287,email,EN,0.8999999761581421,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/24 15:07,10/10/24 15:16,IP Address,128.92.49.109,100,530,TRUE,10/10/24 15:16,R_6WP5DDUCkiBmnKq,,,,,33.763,-118.1774,email,EN,1,,I agree,Yes,Yes,Early-career academic/researcher,Business school,,Female,,Yes,United States of America,-2.5,2.7,2.8,2.7,2.7,-2.3,2.7,-5,5,-2.4,2.8,Agree,65,Somewhat approve,Yes,50,Often,60,Somewhat disapprove,Yes,45,Often,80,Somewhat approve,Yes,60,Often,80,Somewhat approve,Yes,30,Rarely,55,Somewhat approve,No,,Often,45,Somewhat disapprove,No,,Often,25,Somewhat disapprove,Yes,40,Often,45,Somewhat disapprove,No,,Often,55,Somewhat approve,Yes,35,Rarely,60,Somewhat disapprove,Yes,75,Often,20,Somewhat disapprove,No,,Often,Yes,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Totally agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Totally agree,Totally agree,Agree,Totally disagree,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,,End survey,"Report the original hypotheses and results but integrate the unexpected finding as a secondary analysis, suggesting it could be the basis for future research",Close data collection after obtaining the significant result,Disclose the imputation in your methods section,Switch to a different analysis method until you find a significant result,Report all covariates in the model regardless of significance,Rerun the analyses and report those results if they are significant,Report only those results that are relevant to the story you want to tell in the publication,"Report only those studies that 'worked' (i.e., consistent with the motivation theory)",Report all outcomes regardless of significance,Round down the p-value to meet the significance threshold when submitting for publication,Mention the data quality issue
10/10/24 15:20,10/10/24 15:20,IP Address,174.109.73.88,100,13,TRUE,10/10/24 15:20,R_7Hnk0uMlqPmtt16,,,,,36.0229,-78.9464,email,EN,1,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/10/24 15:12,10/10/24 15:24,IP Address,149.169.86.100,100,689,TRUE,10/10/24 15:24,R_7kTjmH2emsraZ2h,,,,,33.4306,-111.9256,email,EN,1,,I agree,Yes,Yes,Mid-career academic/researcher,Business school,,Male,,No,United States of America,5,-5,-5,3.6,-4.2,2.7,-3.9,3.8,-4.7,5,-5,Agree,95,Somewhat approve,Yes,30,Often,90,Somewhat approve,No,,Often,35,Strongly disapprove,No,,Never,95,Somewhat approve,Yes,25,Often,20,Strongly disapprove,No,,Never,50,Somewhat disapprove,No,,Often,99,Somewhat approve,Yes,95,Often,90,Somewhat approve,Yes,80,Often,90,Somewhat approve,Yes,90,Often,70,Somewhat disapprove,No,,Never,50,Somewhat disapprove,No,,Never,Yes,Disagree,Totally agree,Disagree,Totally disagree,Agree,Totally agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Agree,Totally agree,Totally agree,Totally disagree,Totally disagree,Totally agree,Totally disagree,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,End survey,"Report the original hypotheses and results but integrate the unexpected finding as a secondary analysis, suggesting it could be the basis for future research",Continue collecting data as preregistered,Disclose the imputation in your methods section,Simply report the results from your initial analysis,Report all covariates in the model regardless of significance,Leave the analyses as they are,Report only those results that are relevant to the story you want to tell in the publication,"Report only those studies that 'worked' (i.e., consistent with the motivation theory)","Highlight only the relevant, significant outcomes",Round down the p-value to meet the significance threshold when submitting for publication,Mention the data quality issue
10/10/24 15:29,10/10/24 15:29,IP Address,151.226.191.151,100,17,TRUE,10/10/24 15:29,R_8PIwSCVLZR8jtNT,,,,,52.9579,-1.2107,email,EN,1,,I agree,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
