"academic_appointment_OTHER","response_id"
"Engineering department","R_8OdeEtjjIc3lqcW"
"A different department than the ones listed","R_6SE2SifUBWAVvj3"
"Work in industry for a personality assessment publisher","R_7X6gY4OdH3sYEOl"
"Early career practitioner - employed in industry","R_3SIZIZjitzUzTpH"
"Public Administration","R_1Y3XZ3bPbWmHTCI"
"Policy research and training","R_8lY96EmSWu1LLge"
"Economics Department","R_6o86pZVraCErjna"
"DOCTORATE IN PUBLIC HEALTH'S CANDIDATE","R_4eb5oJC3RMkPaeT"
"Communication","R_3di8puQCQDnZvmp"
"Emeritus professor","R_4zU4WAc46UKLDRY"
"retired","R_3Lsyimb0atklQOJ"
"Communication and Media","R_7il0KIqaVAq8nOw"
"Public health","R_6ozFM8sk5SHcmBu"
"Evolutionary Biology","R_4rj482QRypOxniF"
"Retired from business school","R_4iaEl1QL5vW4n7z"
"medical school","R_1Jz5TbT62lH6CJs"
"Public Administration","R_5T2cItqWuYACrtf"
"Public Administration","R_4mDLc0omxPzY7Gp"
"Management","R_1chZWfv76BYb1IX"
"Mathematics Education","R_4EnRky5e9OIMn85"
"Senior Executive","R_4iqAkqCP3hM6fhH"
"Politics","R_2r4amb76F0F4rqF"
"Reserach institute","R_2amfQVpEyWLaUQV"
"nursing","R_44iQMDSStuHqokw"
"Nursing","R_22NhqJwqvEGQPND"
"University","R_8lERALWoj3Kf36S"
"Professor emeritus Business school","R_8QLwP0LI8eS62c5"
"Public management department","R_21i7iKMjKtgN5II"
"Business Information Systems","R_8S0Q8TL8Hl1Vouf"
"Social sciences more generally","R_81mCcGIj0jyqTtY"
"health science","R_2dQvk6TP5mVGRUR"
"Department of educational psychology","R_2D5FKkNIcyJNLHL"
"Criminology","R_8XlSXwLwCnlyG09"
"University (but not psychology)","R_20ZAByHv5frik13"
"private research institute","R_8N86Y7g3uX22CeA"
"economic department","R_8D87cNf5ZQt6GhP"
"Department of Political Science","R_8F3WalNaqzdjuKe"
"Public Administration/Public Policy","R_2U3FHPSP5xQQ0zv"
"Health Management Department","R_8YfhAILAhjDv6tr"
